* Measurement data measured by REW V5.19
* Source: /mnt/tmp/Users/Niklas/Desktop/KITCHEN NO SMOOTH.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 5, 2019 5:31:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 80.0 dB
* Note: Measurement imported from /mnt/tmp/Users/Niklas/Desktop/KITCHEN NO SMOOTH.txt Format: Comma/Tab/Space delimited data 60155 values loaded, 20 Hz to 22,049 Hz
* Measurement: KITCHEN NO SMOOTH.tx
* Smoothing: Variable
* Frequency Step: 0.25 Hz
* Start Frequency: 20.142 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
155.892 78.920 0.000
156.142 78.959 0.000
156.392 79.021 0.000
156.642 79.103 0.000
156.892 79.201 0.000
157.142 79.312 0.000
157.392 79.433 0.000
157.642 79.560 0.000
157.892 79.689 0.000
158.142 79.817 0.000
158.392 79.942 0.000
158.642 80.060 0.000
158.892 80.169 0.000
159.142 80.267 0.000
159.392 80.353 0.000
159.642 80.425 0.000
159.892 80.484 0.000
160.142 80.528 0.000
160.392 80.558 0.000
160.642 80.573 0.000
160.892 80.575 0.000
161.142 80.563 0.000
161.392 80.540 0.000
161.642 80.504 0.000
161.892 80.459 0.000
162.142 80.404 0.000
162.392 80.342 0.000
162.642 80.273 0.000
162.892 80.198 0.000
163.142 80.119 0.000
163.392 80.037 0.000
163.642 79.953 0.000
163.892 79.868 0.000
164.142 79.783 0.000
164.392 79.700 0.000
164.642 79.620 0.000
164.892 79.542 0.000
165.142 79.468 0.000
165.392 79.399 0.000
165.642 79.336 0.000
165.892 79.278 0.000
166.142 79.227 0.000
166.392 79.182 0.000
166.642 79.145 0.000
166.892 79.114 0.000
167.142 79.092 0.000
167.392 79.078 0.000
167.642 79.071 0.000
167.892 79.073 0.000
168.142 79.082 0.000
168.392 79.100 0.000
168.642 79.126 0.000
168.892 79.160 0.000
169.142 79.202 0.000
169.392 79.251 0.000
169.642 79.306 0.000
169.892 79.368 0.000
170.142 79.435 0.000
170.392 79.508 0.000
170.642 79.585 0.000
170.892 79.666 0.000
171.142 79.751 0.000
171.392 79.840 0.000
171.642 79.932 0.000
171.892 80.027 0.000
172.142 80.125 0.000
172.392 80.227 0.000
172.642 80.333 0.000
172.892 80.443 0.000
173.142 80.557 0.000
173.392 80.677 0.000
173.642 80.803 0.000
173.892 80.934 0.000
174.142 81.072 0.000
174.392 81.216 0.000
174.642 81.367 0.000
174.892 81.524 0.000
175.142 81.688 0.000
175.392 81.858 0.000
175.642 82.033 0.000
175.892 82.213 0.000
176.142 82.397 0.000
176.392 82.584 0.000
176.642 82.772 0.000
176.892 82.960 0.000
177.142 83.148 0.000
177.392 83.334 0.000
177.642 83.517 0.000
177.892 83.695 0.000
178.142 83.867 0.000
178.392 84.033 0.000
178.642 84.190 0.000
178.892 84.338 0.000
179.142 84.476 0.000
179.392 84.603 0.000
179.642 84.718 0.000
179.892 84.820 0.000
180.142 84.909 0.000
180.392 84.984 0.000
180.642 85.045 0.000
180.892 85.090 0.000
181.142 85.121 0.000
181.392 85.136 0.000
181.642 85.135 0.000
181.892 85.119 0.000
182.142 85.088 0.000
182.392 85.041 0.000
182.642 84.979 0.000
182.892 84.903 0.000
183.142 84.812 0.000
183.392 84.707 0.000
183.642 84.590 0.000
183.892 84.460 0.000
184.142 84.318 0.000
184.392 84.165 0.000
184.642 84.003 0.000
184.892 83.831 0.000
185.142 83.651 0.000
185.392 83.464 0.000
185.642 83.271 0.000
185.892 83.072 0.000
186.142 82.871 0.000
186.392 82.666 0.000
